,name,score,comment
111,惘然,3," 根据瓦坎达律法：国王登基时，若有人反对可与之挑战，胜者为王。于是反派就利用此律法取男主而代之，祸国殃民。女主质问将军怎可拥庸君？将军表示：“我效忠的正是那律法、王座、国家。”律法成了愚忠祸国的罪魁……我仿佛明白了这部电影会被引进的原因。#有句台词译得好：智者筑桥，愚者筑墙#
        "
112,青山,2," 这是把碟中谍制作团队请来了吗？所有桥段都设计格外刻意，大部分细节描写一眼就看出是为后面哪处段落服务，而本身出现处却没有一点存在意义。对话冗长而没有逻辑，动作浮夸且无聊。迪士尼这是要作大死啊？今年春晚加强版的节奏
        "
113,马二水,3," ""Bury me in the ocean with my ancestors who jumped from ships, because they knew death was better than bondage"" 泪目
        "
114,Terence_W_Yang,3," 最起码作为一部黑人电影还是打上了独特的印记，不过在我看来彩蛋1才应当是故事的开始，这个隐藏的超级大国背后显然可以挖掘很多故事，但是漫威显然选择牺牲了它来铺垫《复联3》，于是这一部又沦为了处理家庭琐事的秀场。
        "
115,汽车大师,3," 美国人抄外国腔英语，各种非洲猎奇元素加封建王朝，这个兄弟电影给我感觉还是黑人剥削片啊，希望下次出个正宗现代嘻哈英雄吧
        "
116,天马星,4," 大火不是没有道理，将流行元素和部落文化结合，视觉效果和艺术指导登峰造极。哈姆莱特式的复仇王子和落难国王新编，人物弧度丰满，造就漫威电影宇宙最悲情的反派。不同以往漫威电影，《黑豹》自成一体，结构完整，这才是一部电影，而不是漫威连续剧的某一集。奥斯卡的话，配乐美术造型奖项提名有机会。
        "
117,伊苏,2," 看过的漫威最烂…
        "
118,豁达叉鸡,4," “墙”似是影射特朗普那堵看不见的无形墙，到联合国拯救世界的却是被大多数人鄙夷的少数族裔。政治正确又如何？再政治正确一百部也受得起，谁又敢说爆米花电影不能推动历史一点一点往前进呢？黑人小孩可能会从中看到自己不一样的未来，白人小孩也能更学会尊重身边不一样的风景。（反派浴袍登基帅炸天）
        "
119,科林,3," 继《灰姑娘》《美女与野兽》之后，迪士尼冷不丁防把《狮子王》也真人化了。
        "
120,释凡,3," 非洲部落科幻版“王子复仇记”，黑豹与表弟权利斗争，老爸反以暴制暴杀害弟弟，但瓦坎达王国内高层公平决斗能决定国王？犹如外国武林盟主争霸！磁悬浮列车、超级飞碟、全息投影....科幻场景很炫酷。香港漫威式飙车大战，召唤地底犀牛群很酷，影射美军打维护世界和平旗号种族战争，比较过瘾，打分太苛求
        "
121,何倩彤,-," “Just because something works doesn't mean it can't be improved.” 恐怕當下最大的問題，不是改善有沒有在發生，而是實際上要如何發生。／反派那條線太揪心。""A kid from Oakland walking around and believing in fairytales.""
        "
122,汪金卫,2," 反派塑造的用心程度是漫威系列最好的，然而这片也就这一个优点了。瓦坎达世界观设定太奇葩，黑妹的科技树无敌开挂，卫队打仗还是如小孩打架。政体领袖更替方式=君主世袭制+人代会鼓掌制+部落比武制。剧情集合了所有俗套元素，结尾远不如《钢铁侠1》公布身份来得干净利落。为了政治正确快接着拍亚裔去吧
        "
123,Karno,5," 2/15首映 michael b jordan太帅 无限加星 我要爆灯了 上一次这么迷一个漫威人物还是冬兵第一次出场的时候lolllll 首尔追车戏霸气了 漫威都爱手刹？周末哥的声音一出来就鸡皮疙瘩了 女战士从赌场二楼一袭红裙飞身而下非常惊艳 看到最后觉得金豹子才是真英雄 我跪了
        "
124,卓扬Eris,3," 拥有严格血统论的部落闭关锁国还发展出逆天高科技，简直荒谬……充满casual racism，结果最后是一个虚伪的内战，估计很多不明事理的观众要跟着反派一起高潮了……不过反派真的是帅啊啊啊！
        "
125,大时代歌姬,-," 这是个扛着红旗反红旗的故事。
堂哥真正代表美国黑豹党精神，主席粉，发动群众武装革命，让统治者颤抖，把红（黑）旗插遍全世界，“黑人/无产阶级失去的只有镣铐，但他们得到了自由/全世界”。（连当上领袖后的独断也像主席）
而王子，就是与美帝讲和的削平同志，不输出革命，大家一起发财。
        "
126,indicent time,4," 观众是出了名的难伺候的，我不喜欢雷神：诸神黄昏，是因为家园落难这么严肃的事情被拍成了欢乐喜剧人，那个时候很多观众也是这么说的；现在终于走严肃路线，不再乱讲段子，认真讲起了王子复仇的故事，还有两对父子对话、兄弟临别看夕阳的动情时刻，怎么说都是跨出了新的一步，观众却说“不好笑了”
        "
127,Mr. Sang,4," 韩剧是女人的a片，战狼是小粉红的，黑豹是老黑的
        "
128,薇羅尼卡,2," 好像从未给漫威打过如此低分。不明所以的故事、充斥全片的说教、战斗力渣爆的超级英雄。无法get到本片的任何点，看到后半程几欲退场。
        "
129,mideastsptfire,4," 两场duel好看到抖肩 Ruth E. Carter已经预定明年奥斯卡costume design了 看完很想重看the wire!
        "
130,秋天最美,5," 好看，国王太帅了，而且心地善良，温柔
        "
131,爬行隧道,3," 事实一再证明，杀人，一定要灭口。#一个政治超级不正确#
        "
132,匠,3," 有点失望😞，前期营销做得太好了，说什么漫威最佳，在北美可能有zzzq，在国内根本找不到共鸣。剧情老套，总是能猜出下一秒会发生什么;动作戏被预告全部放完了，两个黑豹就最后打了几分钟，而且根本不过瘾。英雄设定bug了，感觉插上翅膀比铁人都强(ー_ー)!!
        "
133,Mickyiah,2," 简直毁三观，杀了人爸还不够，还政变杀了合法challenge王位的儿子？男二也经常强行智商下线。
        "
134,Paco,2," 其实挺简单的，就是“好”但难看。不过漫威的内地受众也没几个能看出好在哪，所以干脆就“烂”了。仅仅是对强大文本和强大反派的追求就可以让他们最拿手的制作、节奏、商业满足力全部下线，可见世界最顶级的电影工业系统眼下有多脆弱而不自知。另外希望喷子们能分清“迎合”与“符合”政治正确的区别。
        "
135,唐小万,4," 超出预期。对于不喜欢段子喜剧片，不喜欢全程打打打的我来说，这个还挺合口味的。而它对黑人题材的处理，又比逃出绝命镇更能让我接受。陛下真是有一种含着金钥匙出生从来没穷过的气质。
        "
136,murmur,4," 看完电影出来，也不知道我到底喜不喜欢这部电影。非洲都那么高科技了怎么还是部落大乱斗？那个国家到底是富还是不富，为什么平民只是在土街买竹篮？最后UN那段实在是糟糕！很多困惑。我唯一可以确定的是，男主角实在太性感啦。
        "
137,康康Andriy,4," 看似全球最落后的国家之一，瓦坎达隐藏着全球领先的科技，虽然他妹妹目测以一人之力占据了整个国家的90%+的科研水平，黑豹最牛逼的就是他妹妹做的吸收伤害的战衣了😓😓😓。我倒是不觉得有啥政治正确的。瓦坎达父辈像是犹太教，反派以及黑豹则像是基督教。又一次，反派靠自我奋斗，主角更靠血统..
        "
138,HCL不要氢氧化钠,4," 没外媒说得那么好吧，一场盛大的家族内部矛盾，塑料姐妹情塑料兄弟情😌，身材是极好滴~~有钱也是极好滴
        "
139,下町书店,4," 不至于很难看，2场打戏比妇联2的打戏好多了。
        "
140,九尾黑猫,3," 三星半。真正的君王知道如何去承担错误带来的后果，而越逃避责任只能活得越狭隘。动物虽然只争裹腹与领地，但它们有一种向死而生的激情。影片只是堆砌一些非洲元素却未能表达。这本该是动物性向人性迈进的一个进化故事，那些力量来自我们未能放下的过去，和终将超越的自己。
        "
141,chsolar,3," 作为一部漫威的电影，打斗的场面不多不激烈？连最后决战时刻都感觉没有高潮，不过里面高科技真的有点脑洞，等第二部吧。
        "
142,冰山的阴影,2," 我们来推敲一下：依靠独一无二的资源，成功跃居左右全球命脉且仍以部落制为国体、贵族通行语为英语、国民称西方白人为殖民者并不乏持续地向国内外输出颜色革命的极端民族主义份子的「高端国家」，MCU里是瓦坎达，现实里是沙特阿拉伯吗？
        "
143,Ling ,3," 富可敌国的雄厚经济与人民群众落后生产力之间的鸿沟，统治阶级黑科技与原始部落式战斗的矛盾……
        "
144,Gawiel,4," 视觉听觉都很新鲜；为父报仇的故事背后是“你的祖先在草原，我的祖先在跨越大西洋的贩奴船上”的冲突，但很可惜没有发展，漫威商业化的桎梏毕竟太大了，militant的反抗就一定要呈现为恐怖主义，最后为爱与和平的正义力量所打败，甚至不敢呈现暴力反抗强权（从Fanon到黑豹党的议题）
        "
145,少年王小扯,2," 和蜘蛛侠保持在同一水平，一切都是，小格局的番外电影。
        "
146,喜儿喂鸭正经地,3," 用两个小时来告诉观众用最强的矛和最强的盾打起来会怎么样=_=
        "
147,默语生,2," 《黑豹》。真没想到漫威这年头竟然还会出现不及格作品。作为爆米花电影，没有贯穿始终的冲突和价值观、打斗和视觉奇观都划水、甚至制造不了像样的紧张和挫折，基本完全失败了。主角可说是近年最没个性、塑造最失败的一个。人物行动没有逻辑，事件不能展现观念，没有成长，能力靠吃药和装备……一星半。
        "
148,胤祥,3," 及格还是有的，起码音乐和美术都不错，演员们这些奇诡口音也是难为他们了。剧作也太弱了点，说教到几百年殖民血泪史都出来了，尼玛有这种高科技还能有这么呵呵的政治制度也是……一方面YY一方面还是无法突破吧。能吹得这么高只能说是能打的黑人和更加能打的女黑人站在风口上了，也算是有历史意义了。
        "
149,妙可中国,3," 进步思想、种族平等包装下还是温和保守的故事，到最后也没有撼动到白人老爷的权威。（蚁人）和（奇异博士）以后一直在等这片会不会也来个复仇者英雄客串，可惜到最后都没出现，好吧，冬兵彩蛋不算的话。
        "
150,赵大宝,3," 特查拉以2958票赞成，2票反对，3票弃权，重新夺回王位。
        "
151,Jany,2," 被一群同事安利了去看 看完所有人都说：从没看过这么好看的超级英雄片… 我只好默默无言… 
        "
152,随物赋形人,2," 一句话影评：在美国人的帮助下，非洲人民终于有了自己的超级英雄。
        "
153,Mona Lishark,4," 开始以为是宫斗剧后来发现其实是个政治电影？？？觉得没有同事们说的那么不堪，音乐真棒。一直想知道冬兵在哪儿寄存着，宫里发生这么大事有没有影响老冰棍的保质期。
        "
154,viennavirus,3," 平淡无奇，引人入睡。
        "
155,寒枝雀静,4," C＋/ 拘泥于古典悲剧结构和糟糕设定，丰富了人物心理层次却无法解决一些现代价值观中基本的逻辑问题。不少纯为观赏性服务的桥段，因而整体也难说是后殖民贩卖还是平权。尽管露出了不少意识形态灌输的短板，但依然可以看作美队3之后漫威最具史诗感与思辨性的作品。以及第二个彩蛋十分感人:)
        "
156,PEAR,3," 最大缺陷是take itself too seriously 漫威电影很多因为设定本来经不起推敲会自省式地搞搞幽默 这部感觉因为自以为有政治任务在身 而完全忘记了剧本真的很老套 尤其几个彩蛋实在是把观众当傻子 唯一亮点是女性角色都很厉害 没有腻腻歪歪的花瓶 ps为什么要在韩国打？
        "
157,老狗,3," 平庸，老套，不算烂，也谈不上多好，在美漫大片里实在是一般之作，就跟这边看战狼2一样。美国白左也真是什么都要还回去。6
        "
158,扭腰客,3," 最大的问题出在男主角身上，一脸丧逼样，也不做身材管理，脱了衣服也没有让大家“哇哦”，比堂弟差远了好吗！再说了，瓦坎达一亩三分地儿都治理不好，尼玛还想圣母婊兼济天下，那义务！以及，这根本上就是“输出革命”派和“改革开放”派的殊死宫斗啊！
        "
159,少陵野老大哭着,5," 有几处实在是猛戳黑人痛点，我都看得泪汪汪，我要是个黑人估计得抱头痛哭
        "
160,寒星夜,3," 有史以来最尴尬的一部漫威英雄电影
        "
161,一口吃掉小蛋糕,5," 我有个疑问，到底是钢铁侠有钱还是黑豹有钱？论宠弟大概没人比得了雷神了。不管弟弟怎么作死，也是宠着爱着捧着抱着。片尾双彩蛋，复联成员只在彩蛋中出现。最后大战真是隔靴搔痒，差点儿火候啊国王。不毁天灭地一下子真的好吗？OST好评！蹩脚韩语是怎么回事？口音醉了，这是釜山被黑的最惨的一次吧
        "
162,Panda的阴影,4," ⒈现如今各种评论里时常出现「政治正确」，那如果「没有种族歧视、友善对待残障人士、让LGBTQ群体也能享受如合法结婚等权利……」是所谓的政治正确，那不好吗？为什么要为此而抹黑反对呢？⒉豆瓣推出了可看关注人的打分短评功能，要是能有对应的「屏蔽黑名单用户的打分短评功能」，就更好了！……
        "
163,文泽尔,3," 黑王子复仇记x3
        "
164,方枪枪,3," 1、黑豹飞上汽车引擎盖的时候，这车就成了“捷豹”。2、反派好惨，父亲被伯伯打死了，自己又被堂哥给杀了。3、土豪真的是喜欢买买买，那得意的感觉就跟“这鱼塘被我承包了”一样一样的。4、有个疑问，既然不是不死之身，大反派把心形草都烧了干啥？不考虑自己儿子将来怎么办？
        "
165,艾小玛,3," 故事实在是太俗套了：狮子王+雷神
        "
166,麻绳,3," 看得我好困啊，预示着复联三会更无聊。
        "
167,Creep_,2," 不懂美帝G点高潮在哪里，奇幻美帝琼瑶剧情真是看瞎我。还有，妹妹找了高仿清瘦rihanna，不找我们巴巴多斯日蛤蟆，是不是嫌她胖？！
        "
168,王神爱,3," 闷声发大财不好吗，国王整天穿着中华立领，反派是个入珠爱好者
        "
169,Jikcyu,4," 虽然没有到预期的那么好，但是相较前几年的个人电影，这部真的成熟很多。给我们一闪而过的彩蛋男孩吧唧甜心一个啵啵啵，爱他！釜山那场戏太帅了！
        "
170,Cactuar🌵,4," 不同的电影风格，不同的英雄风格，漫威确实打了一手好牌
        "
171,EpicurE_17,3," （可是黑豹表弟即位的确是合法又合理啊……）
        "
172,xl落,3," 特效没什么亮点，打斗也很一般，情节走向都能猜出来，就一部普通的爆米花电影吧。
        "
173,EmptyWorld,5," 漫威的棋下得太大了，目标太大了，片里所蕴含的主题思想已经升华到超越种族的无产阶级概念，通过黑人之口呼吁天下大同，这不是比某些号称深刻黑暗的超级英雄电影高一万倍？说政治正确的人不是智障就是嫌黑人丑的颜控，我不接受任何辩论。
        "
174,seabisuit,3," 继任者问题是爆发内战的导火索还是一个国王好。构建的封闭原始与超级发达并存的瓦坎达世界新鲜但篇幅稍长，釜山之战惊艳。秀在漫威宇宙里算很强的黑科技，武力技能的展示很不稳定和明显。集合了优秀的黑人演员和导演，而白人除了客串的李和斯坦，还让巴金斯和咕噜重逢。泥土之界的女摄影打斗戏是亮点。
        "
175,机器米,2," 这不就是《厉害了，我的国》么。。外界以为瓦坎达是个第三世界穷国，殊不知早就有了各种新四大发明，王位还暗藏了权力争斗，最后撸起袖子实现了伟大复兴
        "
176,安德烈大叔,3," 非洲人即使科技树全开，也只能是原始部落政体？
        "
177,电影狂魔,2," 不喜欢黑人
                
                "
178,雾留分儿,3," 想象的类型片并没有，故事的功力还是太受限于漫威的流水线模式。而且大概是看之前听太多次ost，很期待的hiphop和画面的结合特别少……回过头看，网飞的Luke Cage都做到了。
        "
179,艺术家,1," 尴尬
        "
180,魇,2," 动作戏有点……呃……可能我刚刚被动画养刁了口味。不过瓦坎达的景是真的好看，黑喵也是真的萌，啊……想吸猫了。（反派弟弟是真的好看，反派+弟弟就是颜值担当是漫威传统吗？）
补充：感谢黑豹编剧的傻逼言论，我们江湖不见。
        "
181,m89,3," 漫威最低作。无聊透顶的瓦坎达宫斗剧，编导演水准全方位low爆，非洲部落风的配乐算是唯一亮点吧。君主世袭制，靠单一自然资源攫取金钱，标准的美帝中东眼中钉，为啥这时候不讲政治正确了啊？再说关心人家美帝政治正不正确也是咸吃萝卜淡操心，我党才是最大的政治正确，有不同意的吗？
        "
182,戴头巾的Robin,-," 陛下真是又温柔又强大！
        "
183,银色bullet,5," 白人小哥这个角色没有必要啊，完全就是为了政治正确加进去的。
                
                "
184,康斯坦丁,3," 有点拖沓，睡了一会，非洲人民yy神作，即使科技那么发达了，市中心还都是练摊的…
        "
185,小哲哲1980,2," 没有期待的好看！一点也不好看！
        "
186,梦梦梦梦,2," 简单来说，不好看。本来满心期待去看的，结果太失望，除了在韩国街道飙车的那场戏挺热血，其他的都没啥意思。以为后来会有更激烈的戏份可越到后面越平淡越无聊。特效也很一般，基本什么可看点
        "
187,胡亚楠,5," 最爱的一部漫威电影，没有之一。贯穿影片的非洲鼓太惊喜了吧
        "
188,明安,5," 太棒了。
        "
189,TZ_Runner,3," 事实证明，闭关锁国在当代是不可取的。纵使有中草药和矿产资源，纵使能击退资本主义夺权者，改革开放的春风该来还得来。
        "
190,仙女不拉屎💩,1," 并不是黑人就是政治正确  而这部就是个充分充满了政治正确的傻逼电影
        "
191,Cycble,3," 口太渴了，为了买水晚到几分钟，进场的时候，一群黑人在黑夜里打打打，妈呀，电影院从来没这么黑过，找不到自己座位了。

又名《世外桃源的王位争夺战》：愚者筑墙，智者筑桥。
        "
192,只埜影,2," 至今最差的marvel电影…
        "
193,HarperDie,4," 四星半。瑞恩·库格勒将非洲文化、嘻哈音乐、动作戏融合、拿捏得相当巧妙。商业类型片吃重的节奏感被放大，甚至产生一种独有律动。尽管动作设计有时略显笨拙，但整体效果很好。政治观点处理得很圆滑，关于女性、亲情、人性的表述，有不少动人之处。有点水土不服的，便是漫威式笑料的穿插，时而略生硬。
        "
194,空语因明,2," 这应该是漫威最差吧。主题没新意情节也不精彩。主题上是低配版雷神:血统的争夺，获胜者必须是仁心不能过分追求武力的。主题的另一层面，看似注重黑人文化，实际上却是西方至上的价值观。不要扯什么政治正确了。
        "
195,蔕,3," 非常非洲民族风。剧情简单没燃点没苏点没帅点没笑点，音乐配合一些场景及动作的视觉观感还可以，但整体太单薄，国王的演技在担主后暴露无遗。漫威近年最无趣的一部
        "
196,Ixtab,-," 想和公主殿下结婚
        "
197,璐璐,2," 年度政治正确盛宴，黑主白辅女胜男败正邪博弈，这个词在这里用才是恰到好处。漫威中下水平，完全不理解大爆的点在哪（可能是文化隔阂吧）。全片都是老梗不停地用，翻来覆去地用，只有斯坦·李老爷子出场还算亮点。不清楚漫威编剧要把内战这个梗用到什么时候，无聊死了。mtc88分，打了88次瞌睡。
        "
198,噶么酱,3," 三星给的特效 本片以民族的是否就是世界的展开了战争 幽默点少 无聊时候居多 熟面孔也多 于是静静向认识的出场演员打招呼 特别是可爱的华生 只不过他们自顾自继续演着 没礼貌 最后我带的午餐都吃完了电影还有很久 就玩起了手机 本片最终论证了科技改善生活  即便是偏远山区 高科技万岁
        "
199,哭到断裂的面具,4," 00：00首映场。人不多。纯黑色阵容。特效和打斗都带有浓郁的黑人风情，服装服饰也是，就连镶的牙都带着黑人符号。只是，黑人独有的天然幽默感呢？笑点太少！
        "
200,梦里诗书,3," 黑人英雄的大放异彩无疑成为了《黑豹》最为独到之处，然而电影剧情上既没有何般真正的新颖之处，格局也仅是拘泥于一隅，于此中那非洲传统文化与超时代高科技的融合，其预打造的神秘国度瓦坎达也充满了种种逻辑漏洞，当我们揭开那层黑色的面纱，所见的仍旧只是乏善可陈的旧有套路。
        "
201,丫 妈 呆,1," 不是我说 太次了 磨磨唧唧的 漫威的标签应该是爆炸轰轰轰！打脸咣咣咣！黑豹是一档综艺节目 我要挑战！小场面
        "
202,saturdaylou,5," 服化道好出色 wakanda每个人都美到窒息！两个服务于超英宇宙故事线的白人角色删掉就好了 / 兄弟双生的collision太有意思了 而thor系列弄了三部还在原地踏步，killmonger漫威最佳反派 mbj身上的vulnerability无限契合 非常喜欢他给GQ拍的那套写真
        "
203,Helicopter,3," 加入非洲素材的视觉元素都很好看，只是故事和动作都好无聊。反派小哥比男主帅哎～看到最后会觉得黑人超英片还是蛮有意义的—尽管我们这个群体永远无法真正体会。
        "
204,大燕威王~扑腾,3," 其实我也觉得一般。观影的时候听见坐右边的一位小哥说：“非洲科技要真这么牛逼，这不是扯么，完全没实感。”我觉得喜不喜欢这部影片可能真和政治正确没关系，而是太脱离现实、缺乏说服力的设定，中国这种现实主义国家的观众，不容易买账。毕竟即使是神话，中国人也倾向于接受那些最现实的部分。
        "
205,东仁波切,1," 打来打去看完毫无印象
                
                "
206,李阿斗,3," 格局不同于之前的所有漫威系列，只是一个简单的复仇故事，反派一句now I'm the king硬是说出了一位rapper的气质（加大拇指戳胸）OST里都是满满的风土人情。（片尾彩蛋表白我死死死而复生生生的吧唧！！
        "
207,笑书神侠倚碧鸳,3," 没有期望中的爆感，可能有些审美疲劳了，好莱坞的大片结构和故事都差不多，只是人物不一样而已！电影不能说差，但是战斗场面没有炒作中的震撼、感情戏又没有美国队长似的精彩，三星足以。
        "
208,Alan,4," 有点太political了 最后ending也来的有点快 不过武器设计实在太酷了！
        "
209,xuyaosheng,-," 搞笑得很，政治正确怎么样政治不正确又怎么样，豆瓣的反建制者真的让人无语，我又怎么么说呢？反派有价值支撑这件事情很奇怪吗？是你们把世界太简单还是你们根本就看不了深一点的东西？黑人的地位是无数人通过数代人几百年来争取过来的，反观亚裔，到现在都没有进入主流社会，你说是为什么呢？
        "
210,H!karu,3," 可以说真的很浅了
        "
211,隔壁山田组组长,3," 工业合格，但就没有一个点戳到我
        "
212,UrthónaD'Mors,3," 被同学提前吐槽“黑子打架”之后看此片不停地带入这句话…而且其中有个片段百分之100演员的肤色…和这黑色的夜完美融合的时候，我的内心有点崩溃ps开头的3D为何会那么晕
        "
213,躲猫猫社社长,-," 大政变。反派怎么能算反派呢，you don’t kill off your Magneto. 再说政治正确这四个字，把你宰了喂小孩（其实我们吃素 但还是闭上你的狗嘴
        "
214,潇雨,4," 虽然剧情套路化，但非洲文化元素+hiphop音乐元素与剧情恰到好处的融合还是满震撼的，那段追车动作戏简直帅的无与伦比！我一直在想什么时候能有融合我们民族元素的动作大片！135分钟的电影，时间好像过的只有45分钟一样也是很不错了，期待第二集，他妹和钢铁侠之间是否能擦出什么科技火花，哈哈哈！
        "
215,diaoduoxi,4," 共产国际瓦坎达支部书记暴动覆灭记
        "
216,舌在足矣,3," 3.5。镜头设计绝对是MCU目前最好的，Ryan Coogler作为当下最有潜力的年轻导演之一，功不可没。然而影片仍然没有逃脱MCU故事逻辑崩坏的通病，更不用说整部影片简直就是非洲版雷神。政治信息方面，对同名恐怖组织的全面批判，以及对美国为什么不能当大号瑞士的隐喻，倒是意外之喜
        "
217,虎哥,3," 世界观幼稚的不行。。而且一个拥有世界最神秘顶尖科技力量的王国发起部落战争还停留在冷兵器格斗水平真是呵呵了 诺兰说黑喵会提名下届奥斯卡bp是在讽刺政治正确的吧
                
                "
218,潘同璧,2," 都是黑豹子的话，还不如让陆振华来演。鞭子抽起来还比这个酷一点点。17/02/2018 Doncaster Village with Sean
        "
219,余小岛,3," 黑人超级英雄版王子复仇记。虽然和过去的插科打诨不太一样，但这样的历史正剧也相当无趣，打斗场面也没有任何亮点。。全程呼呼哈嘿的非洲配乐，总有一种儿戏、想笑的感觉。以及瓦坎达这个世界塑造得如此割裂，有人开隐形飞机有人还得骑犀牛，好不容易用披风竖起个盾牌，还被人一跃而过了。。
        "
